Agricultural Districts, FID="H06DCXnT0EyHNaOE" UGFLinkReference="sE4sE40" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",H06DCXnT0EyHNaOE,sE4sE40,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE40
Commercial Districts, FID="H9tKHDLVelO195dY" UGFLinkReference="sE4sE41" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",H9tKHDLVelO195dY,sE4sE41,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE41
Educational Districts, FID="HAFaBpnw8KHuvg7b" UGFLinkReference="sE4sE42" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HAFaBpnw8KHuvg7b,sE4sE42,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE42
Government Districts, FID="HCukpfcdCpWCCWTl" UGFLinkReference="sE4sE43" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HCukpfcdCpWCCWTl,sE4sE43,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE43
Industrial Districts, FID="HMCNNUeU7tuxHEF8" UGFLinkReference="sE4sE44" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HMCNNUeU7tuxHEF8,sE4sE44,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE44
Military Districts, FID="HSLCAmpXvWONOlNU" UGFLinkReference="sE4sE45" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HSLCAmpXvWONOlNU,sE4sE45,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE45
Religious Districts, FID="HWiDEIlvXTTjlwSP" UGFLinkReference="sE4sE46" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HWiDEIlvXTTjlwSP,sE4sE46,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE46
Residential Districts, FID="HZs6ajEz1jWj8SwP" UGFLinkReference="sE4sE47" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HZs6ajEz1jWj8SwP,sE4sE47,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE47
Transportation Districts, FID="HcsPHHu38we7dP9E" UGFLinkReference="sE4sE48" FIDparent="GQRnXTit6JiMtSZi" UGFparent="sEsE31",HcsPHHu38we7dP9E,sE4sE48,GQRnXTit6JiMtSZi,sEsE31,3,sE,4sE48
Player Quick Sheet, FID="HlyV9728fyQUUdDx" UGFLinkReference="iNrEPlayerQuickSheet",HlyV9728fyQUUdDx,iNrEPlayerQuickSheet,,,21,iNrEPlayerQuickSheet,
